"uuid";"repository_link";"title";"title_exceprt";"description";"description_exceprt";"status";"publication_date";"publication_type";"pure_update";"filtered_keywords";"contributor_names";"contributor_affiliations";"contributor_roles"
"uuid:e8b6c7fa-a634-45c3-b1f3-2e86a25b88c4";"https://resolver.tudelft.nl/uuid:uuid:e8b6c7fa-a634-45c3-b1f3-2e86a25b88c4";"Autonomous Perching Drones: Design, Perception and Control";"Autonomous Perching Drones: Design, Perception and Control.";"Autonomous perching enables micro aerial vehicles (MAVs) to act as quiet, non-intrusive sensing nodes for ecological monitoring and habitat assessment. We present a 1.2[kg] quadrotor designed for selective branch perching in natural environments, aiming to extend operational endurance and enable elevated observation in dense vegetation. <br/>We achieve autonomous quadrotor perching by addressing challenges in perception, planning, mechanical design and control. <br/>Our system, equipped with a stereo vision pipeline and a lightweight top-mounted actuated gripper arm, demonstrates fully autonomous perching across a wide range of branch and stem orientations - from horizontal to vertical - even in cluttered, near-natural forest scenes. In controlled laboratory trials, the MAV performs a 360° scan to identify candidate perches, verifies them with depth-based checks, executes a bottom-up, orthogonal approach, and supports repeated take-off and re-perching at different branches.<br/>This is the first time the complete pipeline of design, perception, planning, and control is addressed for perching drones. With that, our work lays the foundation for future deployment in ecological monitoring and restoration missions, where minimally invasive aerial observation could benefit remote or sensitive ecosystems.";"";"OPEN";"2025-9-29";"master thesis";"2026-02-28 00:01:10.282";"CNN,MAV,aerial robotics,autonomous perching,branch detection,environmental monitoring,machine-learning,robotic grasping,stereo vision";"G.M. Strunck; J. Alonso-Mora; M. Popovic; S. Hamaza";"";"author; graduation committee member"
"uuid:cb78a143-7cf2-4593-9afa-ca2ca900b1b0";"https://resolver.tudelft.nl/uuid:uuid:cb78a143-7cf2-4593-9afa-ca2ca900b1b0";"Active Exploration for VLM-Guided Anomaly Inspection using a UAV";"";"Autonomous exploration by drones in unknown environments has traditionally focused on maximizing spatial coverage without semantic understanding. This thesis presents a framework that integrates vision-language models (VLMs) with adaptive path planning to enable anomaly-aware exploration and inspection. The system employs a three-phase approach: frontier-based exploration, continuous VLM-based anomaly detection, and inspection of detected anomalies. Comparative experiments demonstrated that YOLO+CLIP with negative embeddings achieved the highest F1 score of 0.7218 on the SegmentifyMeIfYouCan benchmark. Experiments showed that dedicated inspection yielded improvements over solely exploration observations. However, system-level evaluation across nine experimental runs revealed that the inspection phase took up most of the mission time (85.9% average), with varying anomaly detection consistency across anomaly instances. False positive analysis identified VLM error as the primary limitation (52% of false positives), followed by simulation artifacts (37%) and semantic ambiguity (11%). The framework successfully demonstrated the feasibility of coupling VLM-based anomaly detection with adaptive planning, though precision limitations and large inspection inefficiencies show opportunities for future work.";"";"OPEN";"2026-3-19";"master thesis";"2026-03-12 12:58:09.045";"Anomaly detection,Autonomous exploration,Frontier-based exploration,Open-set detection,Path planning,RRT*,UAV,Vision-language models";"C. Della Santina; E.J.J. Smeur; Hermann  Blum; M. Popovic; T.L. van der Wal";"";"author; graduation committee member; mentor"
"uuid:0b624189-f88b-490e-ad4f-fb90951d5fef";"https://resolver.tudelft.nl/uuid:uuid:0b624189-f88b-490e-ad4f-fb90951d5fef";"Energy-Aware Multi-UAV Coordination using Informative Path Planning for Maritime Search and Rescue";"";"Autonomous maritime search and rescue faces critical challenges due to limited endurance and dynamic victim drift. This thesis presents a centralized multi-UAV coordination framework based on Energy-Aware Informative Path Planning. The aim is to maximize mission endurance by exploiting the distinct energy dynamics of different flight regimes, such as the efficiency of fixed-wing cruise versus the high cost of hovering. Locally, a Receding Horizon Planner optimizes the trade-off between entropy reduction and energy consumption. The framework provides global coordination by dynamically switching agents between high-altitude exploration and low-altitude target tracking while accounting for the effects of ocean drift. Monte Carlo simulations using the empirical power model of the Variable Skew Quad Plane evaluate the swarm size required to achieve 80% global entropy reduction and successfully confirm multiple victims within a strict 10-minute timespan. The evaluation reveals a fundamental trade-off between spatial clearing speed and environmental robustness—defined as the system's ability to maintain consistent search performance despite adverse wind disturbances. Although boustrophedon coverage is efficient in optimal conditions, adverse crosswinds cause accelerated energy drain, potentially leading to early mission failure. By dynamically surfing wind gradients, the proposed method extends mission endurance while maintaining sufficient coverage capabilities in these severe crosswind scenarios. Finally, the communication and coordination logic of the framework was validated through real-world flight tests with a swarm of Parrot Bebop 2s.";"";"OPEN";"2026-4-23";"master thesis";"2026-04-28 11:20:05.702";"Autonomous,Centralized Coordination,Dynamic Mapping,Energy-Aware Planning,Informative Path Planning,Search & Rescue,Swarming,UAV swarm";"B.D.W. Remes; M. Popovic; S.D. Bhawan";"";"author; mentor"
"uuid:9ab5e5ea-fd2d-434f-9f90-f95c1bed9f1d";"https://resolver.tudelft.nl/uuid:uuid:9ab5e5ea-fd2d-434f-9f90-f95c1bed9f1d";"Evolving Behaviour Trees to Control a Swarm of Flapping-Wing Micro Aerial Vehicles for Greenhouse Exploration";"Evolving Behaviour Trees to Control a Swarm of Flapping Wing Micro Aerial Vehicles for Greenhouse...";"Micro aerial vehicles have shown promising use to further automate food production in greenhouses recently. Compared to conventional multirotor drones, flapping-wing drones offer safe and robust operation around plants due to their soft, slowly-moving wings. Their limited sensing and computational capabilities, however, prohibit the use of map-based navigation methods. To compensate for individual shortcomings, swarming ensures scalability and redundancy. This work proposes a hardware setup combining time-of-flight (ToF) and ultra-wideband (UWB) sensing and explores the artificial evolution of behaviour trees as a reactive planning strategy. Genetic programming, paired with CMAES fine-tuning was able to improve a human-designed exploration strategy by 50%. Neuroevolution has been investigated to encourage emergent swarming behaviours, but requires further experimentation in combination with behaviour trees. The solution obtained in simulation can be readily ported to hardware, but a reality gap in performance persists. These findings contribute to the development of lightweight, scalable aerial systems for autonomous greenhouse monitoring.";"";"OPEN";"2025-9-19";"master thesis";"2025-09-02 13:26:06.642";"";"G.C.H.E. de Croon; L.H. Uptmoor; M. Popovic; S. Stroobants";"";"author; mentor"
"uuid:7deb4c84-4804-4bce-a1ec-a2d85afe8ef5";"https://resolver.tudelft.nl/uuid:uuid:7deb4c84-4804-4bce-a1ec-a2d85afe8ef5";"EAAE: Energy-Aware Autonomous Exploration for UAVs in Unknown 3D Environments";"";"Autonomous exploration enables unmanned aerial vehicles (UAVs) to map unknown environments without human intervention. While state-of-the-art algorithms primarily focus on maximizing coverage or minimizing exploration time, they often overlook energy efficiency, a critical constraint for battery-powered UAVs. This thesis introduces EAAE, a modular Energy-Aware Autonomous Exploration framework that explicitly incorporates energy consumption into the exploration decision-making process. By combining frontier detection, a K-means divisive clustering algorithm, energy-aware target selection, and dual-layer planning, the framework balances information gain with energy cost. The algorithm is evaluated in simulation using the Agilicious control stack, with a physically realistic power model based on rotor speeds. Two 3D environments of varying complexity are used to compare EAAE against two baselines, an information-gain-based frontier method and distance-based frontier methods. Results show that EAAE consistently achieves the lowest total energy consumption while maintaining competitive or lower exploration times. Moreover, it demonstrates similar performance in terms of information entropy and reduced power variability, contributing to more efficient and robust mapping. This work highlights the importance of integrating energy-awareness into exploration pipelines and provides a foundation for further research into long-endurance autonomous aerial missions.";"... By combining frontier detection, a <b>K</b> means divisive clustering algorithm, energy aware target...";"OPEN";"2025-7-9";"master thesis";"2025-07-01 15:20:05.556";"3D Mapping,Autonomous Exploration,Energy Consumption Model,Energy-Aware Planning,Frontier-Based Exploration,UAV exploration";"C. de Wagter; Christian Pek; J.E. Elskamp; Leonard Bauersfeld; M. Popovic; Moji Shi";"";"author; graduation committee member; mentor"
"uuid:0144c330-9b16-4283-9b38-89c1e94a07f4";"https://resolver.tudelft.nl/uuid:uuid:0144c330-9b16-4283-9b38-89c1e94a07f4";"Semi-Reactive Collision Avoidance in Unknown Environments";"";"Unmanned Aerial Vehicles (UAVs) play a crucial role in various applications, including disaster response, infrastructure inspection, and search-and-rescue missions. To maximise their effectiveness, UAVs must achieve a high level of autonomy, particularly when navigating cluttered environments. This requires real-time collision avoidance algorithms that efficiently utilise on-board computational resources. Existing approaches either maintain explicit map representations, which provide memory of past observations but require significant computation, or directly process depth images, which are computationally efficient but restrict flight paths to the sensor’s field of view (FOV). This thesis presents a novel, lightweight collision avoidance algorithm that operates directly on depth images while retaining memory of past observations. By aggregating previous depth data, the algorithm enables UAVs to plan trajectories beyond the FOV of onboard sensors without the computational overhead of explicit map maintenance. Experimental results demonstrate that the proposed method outperforms existing state-of-the-art methods in terms of computational efficiency, flight speed, energy cost, and path length until collision.";"";"OPEN";"2025-4-1";"master thesis";"2025-07-17 03:25:03.201";"Collision avoidance,UAV,Unknown Environment";"G.C.H.E. de Croon; J. Guo; M. Popovic; S. Van den Bergh";"";"author; graduation committee member; mentor"
"uuid:a4248cc6-a95a-481a-9065-965987da8d83";"https://resolver.tudelft.nl/uuid:uuid:a4248cc6-a95a-481a-9065-965987da8d83";"Local Path Planning and Obstacle Avoidance for an Omnicopter";"Local Path Planning and Obstacle Avoidance for an Omnicopter.";"As omnidirectional UAVs become increasingly prevalent, computationally efficient path planning algorithms are required to facilitate their autonomous traversal of dynamic environments. This thesis presents a real-time local path planning algorithm for an omnicopter, adapted from the Dynamic Window Approach into a 6D-DWA implementation. To ensure computational efficiency, the local path planner incorporates environment voxelisation, a 10-sphere omnicopter structure approximation, and adaptive velocity sampling. The avoidance of dynamic obstacles, detected via depth camera, is facilitated through context-aware 6D-DWA weight adjustments and a separate integrated fast-evasion strategy. Simulation testing in Gazebo demonstrates that the 6D-DWA is a feasible local planning solution, consistently performing below the 0.2 s real-time threshold. Future research into algorithm hybridisation may further mitigate the system's limited foresight and enhance the replanning capabilities.";"";"OPEN";"2026-3-5";"master thesis";"2026-02-20 14:13:20.000";"Dynamic Window Approach,Local Path Planning,Omnicopter,Omnidirectionality,Real-time Navigation";"C. de Wagter; M. Popovic; M.D. Pavel; M.K. Heliński; Spilios Theodoulis";"";"author; graduation committee member; mentor"
"uuid:29735fe1-7fe0-4d28-83bd-76c4fa2569ce";"https://resolver.tudelft.nl/uuid:uuid:29735fe1-7fe0-4d28-83bd-76c4fa2569ce";"Large-Scale Priority-Aware Exploration with UAV Swarms";"";"Autonomous UAV swarms have great potential for applications such as search‐and‐rescue, wildfire monitoring, and environmental mapping, but rapid and reliable coverage of large, obstacle‐filled areas remains challenging. In this paper, we ask: How can decentralised multi-UAV systems be optimised for large-scale priority-aware exploration? To answer this, we present the Fast LIDAR-based Autonomous Multi-UAV Explorer (FLAME), a hierarchical framework for efficient swarm exploration with long‐range, 360° LIDAR sensors. Locally, a dual‐mode exploration planner alternates between high‐speed straight‐line travel and frontier-cost‐based exploration. Globally, each UAV’s mission is optimised to visit user‐defined high‐priority regions early while minimising total mission time, enabling decentralised coordination with minimal duplicate exploration. FLAME also integrates battery‐constrained multi‐mission planning, dividing large tasks into multiple battery‐feasible missions with timely returns to the ground station for recharging or battery swaps. In simulation, FLAME achieves 36% lower mission time compared to state-of-the-art. A high-fidelity simulation confirms the framework’s ability to effectively prioritise user-assigned regions while adhering to operational constraints.";"";"OPEN";"2025-5-3";"master thesis";"2025-07-17 04:53:46.756";"LIDAR,UAV swarm,autonomous mapping,battery constraints,decentralised coordination,exploration,frontier,multi-mission planning,priority-aware planning";"D. Borstlap; J. Alonso-Mora; M. Popovic";"";"author; mentor"
"uuid:c30dd07b-d2ca-4fed-98c9-7f4b874c7f26";"https://resolver.tudelft.nl/uuid:uuid:c30dd07b-d2ca-4fed-98c9-7f4b874c7f26";"STEM: Semantic Target Search and Exploration using MAVs in Cluttered Environments";"STEM: Semantic Target Search and Exploration using MAVs in Cluttered Environments.";"<p class=""western"" style=""line-height: 16px; margin-bottom: 0in; direction: ltr; background: transparent; font-family: &quot;Liberation Serif&quot;, serif; font-size: 12pt;"">Autonomous target search is crucial for deploying Micro Aerial Vehicles (MAVs) in emergency response and rescue missions. Existing approaches either focus on 2D semantic navigation in structured environments – which is less effective in complex 3D settings, or on robotic exploration in cluttered spaces – which often lacks the semantic reasoning needed for efficient target search. This thesis overcomes these limitations by proposing a novel framework that utilizes semantic reasoning to minimize target search and exploration time in unstructured environments using a MAV. Specifically, the open vocabulary inference capabilities of Large Language Models are employed to embed semantic relationships in segmentation images. An active perception pipeline is then developed to guide exploration toward semantically relevant regions of 3D space by biasing frontiers and selecting informative viewpoints. Finally, a combinatorial optimization problem is solved using these viewpoints to create a plan that balances information gain with time costs, facilitating rapid location of the target. Evaluations in complex simulation environments show that the proposed method consistently outperforms baselines by quickly finding the target while maintaining reasonable exploration times. Real-world experiments with a MAV further demonstrate the method's ability to handle practical constraints like limited battery life, small sensor range, and semantic uncertainty.</p>";"";"OPEN";"2024-8-27";"master thesis";"2024-08-20 15:40:07.030";"Drones,LLM,Robotic Exploration,Search and Rescue Robotics,Semantic navigation,TSP,active perception,visual attention";"Carlos Hernández; J. Alonso-Mora; M. Lodel; M. Popovic; N. Sethi";"";"author; graduation committee member; mentor"
"uuid:d8c0486d-f7eb-443a-8c76-9770038db3e8";"https://resolver.tudelft.nl/uuid:uuid:d8c0486d-f7eb-443a-8c76-9770038db3e8";"Reinforcement learning driven behavioral entropy based frontier exploration";"";"Autonomous robotic exploration must balance fast mapgrowth with robustness under uncertainty. Among frontier-based methods, information-theoretic variants (e.g., Shannon/Rényi) are fast and reliable. This thesis integrates Behavioral Entropy (BE)—which models human-like risk perception—into a planner-in-theloop deep reinforcement learning(DQN) framework that learns the BE risk parameter 𝛼 online. <br/>The policy selects 𝛼 from a discrete action set, uses occlusion-aware visibility to compute BE-based information gain, and delegates motion to a classical A* planner; reward shaping couples coverage/entropy reduction with motion cost. Action-usage analysis reveals an adaptive risk schedule—aggressive early, conservative mid-episode, selectively aggressive late—enabling faster cleanup of residual area. Overall, a reinforcement-learning method with risk-attitude tuning yields a robust, planner-compatible explorer. ";"";"OPEN";"2025-10-30";"master thesis";"2025-10-24 07:40:05.641";"";"C. Li; E. van Kampen; I.I. de Pater; M. Popovic";"";"author; mentor"
